kode_wilayah,kabupaten_kota,tahun,persentase_penduduk_miskin,uhh,hls,rls,pengeluaran_per_kapita_disesuaikan,tpt
3301,Kabupaten Cilacap,2020,11.46,74.28,12.5,6.97,10440,9.1
3301,Kabupaten Cilacap,2021,11.67,74.45,12.63,7.09,10534,9.97
3301,Kabupaten Cilacap,2022,11.02,74.59,12.66,7.18,10904,9.62
3301,Kabupaten Cilacap,2023,10.99,74.73,12.67,7.39,11432,8.74
3301,Kabupaten Cilacap,2024,10.68,74.97,12.69,7.4,11868,7.83
3302,Kabupaten Banyumas,2020,13.26,74.05,12.85,7.52,11448,6.0
3302,Kabupaten Banyumas,2021,13.66,74.13,13.03,7.63,11546,6.05
3302,Kabupaten Banyumas,2022,12.84,74.16,13.21,7.78,11905,6.05
3302,Kabupaten Banyumas,2023,12.53,74.2,13.26,7.87,12492,6.35
3302,Kabupaten Banyumas,2024,11.95,74.34,13.34,7.91,12960,6.18
3303,Kabupaten Purbalingga,2020,15.9,73.75,11.99,7.24,9914,6.1
3303,Kabupaten Purbalingga,2021,16.24,73.82,12.0,7.25,10032,6.05
3303,Kabupaten Purbalingga,2022,15.3,73.89,12.01,7.33,10277,5.23
3303,Kabupaten Purbalingga,2023,14.99,73.98,12.02,7.34,10964,5.61
3303,Kabupaten Purbalingga,2024,14.18,74.19,12.03,7.36,11343,4.96
3304,Kabupaten Banjarnegara,2020,15.64,74.21,11.46,6.74,9263,5.86
3304,Kabupaten Banjarnegara,2021,16.23,74.31,11.63,6.75,9407,5.86
3304,Kabupaten Banjarnegara,2022,15.2,74.4,11.81,6.84,9776,6.38
3304,Kabupaten Banjarnegara,2023,14.9,74.5,11.82,6.86,10226,6.26
3304,Kabupaten Banjarnegara,2024,14.71,74.7,11.83,6.87,10595,5.57
3305,Kabupaten Kebumen,2020,17.59,74.58,13.34,7.54,8901,6.07
3305,Kabupaten Kebumen,2021,17.83,74.73,13.35,7.55,9028,6.03
3305,Kabupaten Kebumen,2022,16.41,74.85,13.36,7.85,9282,5.92
3305,Kabupaten Kebumen,2023,16.34,74.98,13.37,7.86,9734,5.11
3305,Kabupaten Kebumen,2024,15.71,75.22,13.39,7.87,10176,5.07
3306,Kabupaten Purworejo,2020,11.78,74.91,13.5,8.12,10163,4.04
3306,Kabupaten Purworejo,2021,12.4,75.05,13.51,8.21,10275,3.59
3306,Kabupaten Purworejo,2022,11.53,75.2,13.52,8.32,10671,4.45
3306,Kabupaten Purworejo,2023,11.33,75.37,13.53,8.46,11110,4.02
3306,Kabupaten Purworejo,2024,10.87,75.64,13.55,8.65,11584,3.89
3307,Kabupaten Wonosobo,2020,17.36,73.7,11.75,6.81,10621,5.37
3307,Kabupaten Wonosobo,2021,17.67,73.82,11.76,6.82,10760,5.26
3307,Kabupaten Wonosobo,2022,16.17,73.89,11.78,6.88,11108,5.01
3307,Kabupaten Wonosobo,2023,15.58,74.01,11.8,6.89,11577,4.95
3307,Kabupaten Wonosobo,2024,15.28,74.25,11.81,6.9,11980,4.02
3308,Kabupaten Magelang,2020,11.27,73.97,12.54,7.78,9301,4.27
3308,Kabupaten Magelang,2021,11.91,74.13,12.55,7.79,9440,5.03
3308,Kabupaten Magelang,2022,11.09,74.28,12.58,7.81,10011,4.97
3308,Kabupaten Magelang,2023,10.96,74.44,12.61,7.82,10493,4.42
3308,Kabupaten Magelang,2024,10.83,74.68,12.62,7.83,10926,3.55
3309,Kabupaten Boyolali,2020,10.18,75.95,12.56,7.84,12910,5.28
3309,Kabupaten Boyolali,2021,10.62,76.03,12.57,7.85,13031,5.09
3309,Kabupaten Boyolali,2022,9.82,76.12,12.62,8.08,13250,4.92
3309,Kabupaten Boyolali,2023,9.81,76.23,12.66,8.09,13716,4.05
3309,Kabupaten Boyolali,2024,9.63,76.44,12.67,8.17,14195,3.16
3310,Kabupaten Klaten,2020,12.89,76.78,13.25,8.58,11921,5.46
3310,Kabupaten Klaten,2021,13.49,76.86,13.39,8.81,12017,5.48
3310,Kabupaten Klaten,2022,12.33,76.95,13.4,9.09,12522,4.31
3310,Kabupaten Klaten,2023,12.28,77.07,13.41,9.27,12968,4.2
3310,Kabupaten Klaten,2024,12.04,77.31,13.43,9.29,13513,3.97
3311,Kabupaten Sukoharjo,2020,7.68,77.65,13.83,9.34,11325,6.93
3311,Kabupaten Sukoharjo,2021,8.23,77.73,13.84,9.35,11428,3.32
3311,Kabupaten Sukoharjo,2022,7.61,77.82,13.9,9.62,11841,2.47
3311,Kabupaten Sukoharjo,2023,7.58,77.86,13.91,9.84,12319,3.4
3311,Kabupaten Sukoharjo,2024,7.47,78.01,13.92,10.01,12758,3.65
3312,Kabupaten Wonogiri,2020,10.86,76.16,12.49,7.33,9286,4.27
3312,Kabupaten Wonogiri,2021,11.55,76.28,12.5,7.34,9429,2.43
3312,Kabupaten Wonogiri,2022,10.99,76.41,12.51,7.42,9780,1.95
3312,Kabupaten Wonogiri,2023,10.94,76.56,12.52,7.67,10283,1.92
3312,Kabupaten Wonogiri,2024,10.71,76.82,12.61,7.68,10634,2.4
3313,Kabupaten Karanganyar,2020,10.28,77.47,13.68,8.56,11428,5.96
3313,Kabupaten Karanganyar,2021,10.68,77.55,13.69,8.57,11509,5.89
3313,Kabupaten Karanganyar,2022,9.85,77.64,13.7,8.79,11798,5.7
3313,Kabupaten Karanganyar,2023,9.79,77.72,13.71,9.02,12260,4.35
3313,Kabupaten Karanganyar,2024,9.59,77.91,13.73,9.26,12732,3.47
3314,Kabupaten Sragen,2020,13.38,75.71,12.83,7.65,12589,4.75
3314,Kabupaten Sragen,2021,13.83,75.79,12.84,7.66,12679,4.76
3314,Kabupaten Sragen,2022,12.94,75.87,12.91,7.79,13052,4.69
3314,Kabupaten Sragen,2023,12.87,75.97,12.92,7.87,13439,3.87
3314,Kabupaten Sragen,2024,12.41,76.18,12.93,7.88,13890,3.53
3315,Kabupaten Grobogan,2020,12.46,74.75,12.3,6.91,10221,4.5
3315,Kabupaten Grobogan,2021,12.74,74.84,12.44,7.11,10294,4.38
3315,Kabupaten Grobogan,2022,11.8,74.93,12.45,7.26,10610,4.4
3315,Kabupaten Grobogan,2023,11.72,75.04,12.46,7.28,11083,4.02
3315,Kabupaten Grobogan,2024,11.43,75.25,12.48,7.29,11548,3.23
3316,Kabupaten Blora,2020,11.96,74.41,12.2,6.83,9571,4.89
3316,Kabupaten Blora,2021,12.39,74.51,12.35,6.99,9669,3.81
3316,Kabupaten Blora,2022,11.53,74.6,12.44,7.01,10067,3.7
3316,Kabupaten Blora,2023,11.49,74.71,12.51,7.08,10541,3.1
3316,Kabupaten Blora,2024,11.42,74.92,12.6,7.26,10926,3.67
3317,Kabupaten Rembang,2020,15.6,74.55,12.11,7.16,10328,4.83
3317,Kabupaten Rembang,2021,15.8,74.61,12.12,7.3,10519,3.67
3317,Kabupaten Rembang,2022,14.65,74.68,12.13,7.41,10937,1.76
3317,Kabupaten Rembang,2023,14.17,74.77,12.15,7.72,11399,2.6
3317,Kabupaten Rembang,2024,14.02,74.98,12.3,7.73,11830,2.84
3318,Kabupaten Pati,2020,10.08,76.22,12.65,7.44,10390,4.74
3318,Kabupaten Pati,2021,10.21,76.27,12.94,7.48,10506,4.6
3318,Kabupaten Pati,2022,9.33,76.32,12.95,7.79,10948,4.45
3318,Kabupaten Pati,2023,9.31,76.39,12.96,7.8,11385,4.29
3318,Kabupaten Pati,2024,9.17,76.56,12.98,7.82,11829,3.87
3319,Kabupaten Kudus,2020,7.31,76.6,13.23,8.75,11160,5.53
