rank_test_score,mean_validation_mae,std_validation_mae,params
1,1.1836377188208584,0.0665751269616574,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.6, 'max_depth': 15}"
2,1.2290633103937014,0.04265955365191698,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 6}"
3,1.2368730861677997,0.10003891091236324,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 15}"
4,1.2471006090956653,0.11631951424889993,"{'n_estimators': 500, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.6, 'max_depth': 15}"
5,1.251255769436309,0.11755066616082069,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.6, 'max_depth': 10}"
6,1.25155854138322,0.11759904210598937,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.6, 'max_depth': 15}"
7,1.2907209844846803,0.12564989780430802,"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 15}"
8,1.3030335323553957,0.14116242363111225,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 0.6, 'max_depth': None}"
9,1.3072820403284793,0.1410337778086877,"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': None}"
10,1.3081461955782316,0.12442365645889254,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}"
11,1.3113940893438814,0.12143142101182045,"{'n_estimators': 200, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}"
12,1.3382162658545116,0.1223032140249347,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 0.6, 'max_depth': 6}"
13,1.3428235673158297,0.14862505629252398,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 0.6, 'max_depth': None}"
14,1.3488381671375238,0.008540308541888251,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 4}"
15,1.353915620119608,0.13135160004018837,"{'n_estimators': 500, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15}"
16,1.3631121062401517,0.1720772233271547,"{'n_estimators': 500, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': None}"
17,1.368427992654684,0.16577517451589022,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': None}"
18,1.4013019000046691,0.1468958846141286,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 4}"
19,1.4101295705316688,0.14448644870680183,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 6}"
20,1.4775277042570727,0.18094988638654894,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10}"
